	D3T0_sorted	D3T3_sorted	D3T7_sorted	D3T14_sorted	D3T0_unsorted	D3T3_unsorted	D3T7_unsorted	D3T14_unsorted
C6orf165	0	0	0	0	0	0	1	1
C6orf170	48	26	49	19	15	17	15	10
C6orf195	0	0	0	0	0	0	0	0
C6orf201	2	1	1	0	0	0	0	0
C6orf203	80	31	41	61	100	128	116	118
C6orf211	52	19	17	37	46	56	35	61
C6orf222	0	0	0	0	0	0	0	0
C6orf223	0	0	0	0	0	0	0	0
C6orf226	19	7	5	8	17	19	8	23
C6orf25	11	12	7	14	6	6	4	6
C6orf47	8	2	7	4	7	4	4	7
C6orf48	314	206	259	239	430	698	537	506
C6orf52	1	2	3	0	0	4	2	5
C6orf57	32	8	18	28	25	19	26	47
C6orf58	0	2	0	0	0	1	0	0
C6orf62	460	116	228	260	395	281	154	188
C6orf7	3	8	3	2	0	0	0	1
C6orf70	38	22	11	21	69	57	29	33
C6orf89	166	58	102	86	188	179	122	135
C6orf99	0	2	2	0	0	0	0	0
C7	12	10	28	41	10	14	30	41
C7orf10	39	14	38	22	60	37	54	40
C7orf13	3	2	4	2	6	5	2	5
C7orf25	42	25	29	10	56	69	39	33
C7orf26	2	6	5	8	1	5	9	5
C7orf31	2	0	0	0	3	1	0	0
C7orf33	0	0	0	0	0	0	0	0
C7orf34	0	0	0	0	0	0	0	0
C7orf41	14	16	15	24	23	22	21	42
C7orf43	0	1	0	1	0	0	1	0
C7orf49	59	11	13	15	62	67	48	40
C7orf50	202	42	42	51	450	166	130	126
C7orf55	88	66	84	100	80	80	80	101
C7orf55-LUC7L2	47	27	31	52	28	54	44	54
C7orf57	1	0	0	0	0	0	0	0
C7orf60	13	7	24	14	10	35	21	17
C7orf61	0	0	0	0	0	0	0	0
C7orf62	0	0	0	0	0	0	0	0
C7orf63	5	8	6	13	8	8	4	7
C7orf65	9	6	11	4	2	5	2	2
C7orf66	0	0	0	0	0	0	0	0
C7orf69	0	0	3	0	0	0	3	0
C7orf71	0	0	0	0	0	0	0	0
C7orf72	1	0	0	0	0	0	1	0
C7orf73	597	193	290	274	710	541	413	533
C7orf76	0	0	0	0	0	0	0	0
C8A	0	0	0	0	0	0	0	0
C8B	0	0	0	0	0	0	0	0
C8G	0	0	0	0	0	1	0	0
C8orf12	0	0	0	0	0	0	0	0
C8orf22	0	0	0	0	0	0	0	0
C8orf31	7	5	10	12	5	3	6	2
C8orf33	91	66	60	74	102	164	77	111
C8orf34	0	0	1	1	1	1	0	2
C8orf37	22	25	43	31	5	5	17	9
C8orf4	0	3	0	3	0	0	2	0
C8orf44	23	17	32	19	6	14	9	22
C8orf44-SGK3	15	11	26	23	8	11	8	16
C8orf46	0	0	1	1	0	0	2	0
C8orf47	0	0	0	0	4	1	1	0
C8orf48	11	9	4	6	29	10	17	19
C8orf49	25	21	36	42	9	12	7	14
C8orf56	0	0	0	0	0	1	0	1
C8orf58	25	3	15	10	14	12	6	5
C8orf59	405	129	203	202	289	267	298	302
C8orf69	1	0	0	0	0	0	0	1
C8orf74	0	0	0	0	0	0	0	0
C8orf76	134	58	53	77	154	178	110	121
C8orf82	9	3	9	10	9	7	12	16
C8orf86	20	12	22	16	3	3	4	6
C8orf87	0	0	0	0	0	0	0	0
C9	1	0	0	0	0	0	0	0
C9orf106	0	0	0	0	0	0	0	0
C9orf114	41	28	23	43	65	31	34	44
C9orf116	11	2	1	4	22	9	7	8
C9orf117	7	4	1	4	8	4	2	4
C9orf123	113	49	59	73	178	138	133	158
C9orf129	6	3	5	7	4	2	5	6
C9orf131	0	0	0	0	0	0	0	3
C9orf135	0	0	0	0	0	0	0	0
C9orf135-AS1	3	4	6	7	3	1	2	3
C9orf139	4	5	21	13	3	2	3	5
C9orf142	49	12	20	17	31	29	34	25
C9orf152	0	0	0	0	0	1	1	0
C9orf153	1	0	0	0	0	0	0	0
C9orf156	33	4	10	6	38	18	17	20
C9orf16	32	11	17	9	18	25	21	27
C9orf163	0	0	0	0	0	0	0	0
C9orf169	1	0	0	0	0	3	0	0
C9orf170	0	2	0	0	0	4	2	0
C9orf171	1	0	0	0	0	0	0	0
C9orf172	0	0	0	0	0	0	0	0
C9orf173	0	0	0	0	0	0	0	0
C9orf24	0	0	1	1	0	0	2	2
C9orf3	78	49	77	66	62	24	43	37
C9orf37	30	20	48	52	32	29	21	22
C9orf40	1	2	6	1	8	1	4	1
C9orf41	9	7	4	5	6	4	2	1
C9orf43	3	1	2	1	3	0	1	1
C9orf47	1	1	1	1	0	0	0	1
C9orf50	2	0	0	0	0	0	0	0
C9orf53	0	0	0	0	0	0	0	0
C9orf57	0	0	0	0	0	0	0	0
C9orf62	0	0	0	0	0	0	0	0
C9orf64	95	24	63	51	84	77	41	53
C9orf66	19	32	36	28	12	7	7	10
C9orf69	10	1	9	5	12	11	6	8
C9orf72	3	10	18	12	3	11	6	12
C9orf78	242	98	134	135	349	342	244	217
C9orf84	1	6	3	2	0	0	1	1
C9orf85	55	33	43	44	45	35	35	31
C9orf89	52	39	30	24	37	100	60	57
C9orf9	22	4	5	5	22	16	7	8
C9orf91	46	36	56	33	24	21	28	23
C9orf92	1	0	0	0	0	0	0	0
C9orf96	0	1	1	0	0	1	0	1
CA1	0	1	0	0	0	0	0	0
CA10	0	0	0	0	0	0	0	0
CA11	0	1	1	1	1	1	0	0
CA12	28	37	28	25	61	26	9	8
CA13	18	18	34	22	11	7	11	4
CA14	0	0	0	0	0	1	1	0
CA2	1	0	5	2	0	0	3	6
CA3	0	0	0	2	0	0	5	5
CA4	0	0	0	0	1	0	0	0
CA5A	1	0	1	0	0	0	0	0
CA5B	92	50	121	106	45	29	44	62
CA5BP1	8	4	5	10	4	12	6	11
CA6	0	0	0	0	0	0	0	0
CA7	0	0	0	0	0	0	0	0
CA8	0	0	0	0	0	0	0	0
CA9	0	0	0	0	0	0	1	0
CAAP1	13	8	9	9	21	18	10	14
CAB39	43	20	20	31	22	43	21	29
CAB39L	24	11	13	14	18	15	19	16
CABIN1	30	18	27	27	24	27	21	25
CABLES1	7	8	16	7	11	19	17	27
CABLES2	4	3	1	2	3	2	1	2
CABP1	0	0	0	0	0	0	0	0
CABP2	0	0	0	0	0	0	0	0
CABP4	64	51	124	78	26	22	24	24
CABP5	0	2	3	3	0	0	0	1
CABP7	65	13	26	29	53	75	54	48
CABS1	0	0	0	0	0	0	0	0
CABYR	18	7	18	19	36	23	32	43
CACFD1	4	0	3	6	5	4	1	1
CACHD1	0	1	4	3	0	2	3	1
CACNA1A	12	11	48	30	9	23	14	25
CACNA1B	1	2	0	0	0	1	0	0
CACNA1C	0	0	0	0	0	0	0	0
CACNA1C-AS1	1	0	0	0	0	0	0	0
CACNA1C-AS4	3	3	7	2	0	1	1	1
CACNA1C-IT3	0	0	0	0	1	0	0	1
CACNA1D	0	0	0	0	0	0	0	0
CACNA1E	1	0	0	0	0	0	0	1
CACNA1F	0	0	0	0	0	0	0	1
CACNA1G	0	0	0	0	0	0	0	0
CACNA1G-AS1	0	0	0	0	0	0	0	0
CACNA1H	1	0	1	1	1	0	1	0
CACNA1I	0	0	0	0	0	0	0	0
CACNA1S	0	0	0	0	0	0	0	0
CACNA2D1	23	11	10	9	10	8	4	4
CACNA2D2	0	0	0	1	0	0	0	0
CACNA2D3	15	0	0	0	18	0	3	0
CACNA2D3-AS1	0	0	0	0	0	0	0	0
CACNA2D4	0	0	5	2	5	1	2	2
CACNB1	6	0	0	0	3	1	2	3
CACNB2	15	19	42	25	5	7	12	12
CACNB3	10	3	13	2	22	12	5	7
CACNB4	4	1	1	0	1	1	1	0
CACNG1	0	0	0	0	0	0	0	0
CACNG2	2	0	1	1	1	1	1	1
CACNG3	0	0	1	0	0	0	0	0
CACNG4	0	0	0	0	0	0	0	0
CACNG5	0	0	0	0	0	0	0	0
CACNG6	0	0	0	0	0	0	0	0
CACNG7	0	0	0	0	0	0	0	0
CACNG8	111	62	160	92	27	35	41	40
CACTIN	3	0	0	1	2	0	1	1
CACTIN-AS1	0	0	0	0	1	0	0	0
CACUL1	98	50	102	90	84	123	108	120
CACYBP	510	93	167	172	623	356	288	355
CAD	93	31	26	43	99	88	48	51
CADM1	2	0	1	1	2	0	0	0
CADM2	4	1	3	7	2	5	1	1
CADM2-AS2	0	1	2	1	0	0	1	0
CADM3	0	1	0	2	0	1	1	7
CADM4	1	0	0	0	0	0	0	1
CADPS	2	1	1	0	6	2	0	0
CADPS2	3	3	6	3	3	5	3	2
CAGE1	5	7	10	6	9	2	5	7
CAHM	3	1	3	5	1	0	0	3
CALB1	0	1	0	0	0	0	0	0
CALB2	0	1	0	3	4	0	2	7
CALCA	0	0	0	0	0	0	0	0
CALCB	0	0	0	0	0	0	1	0
CALCOCO1	26	36	31	46	14	22	11	15
CALCOCO2	312	165	307	262	369	497	433	491
CALCR	0	0	0	0	0	0	0	0
CALCRL	3	4	5	13	6	4	9	18
CALD1	5724	1834	3488	3059	9422	6409	6003	5505
CALHM1	13	6	14	9	3	2	5	2
CALHM2	78	7	16	9	59	34	10	20
CALHM3	0	0	0	0	0	0	0	0
CALM1	828	186	307	328	1122	768	747	826
CALM2	3735	592	961	1017	5644	1913	2081	2067
CALM3	151	14	26	23	166	53	41	71
CALML3	0	0	0	0	0	0	0	0
CALML4	2	3	3	3	3	4	2	3
CALML5	0	0	0	0	0	0	0	0
CALML6	0	0	0	0	0	0	0	0
CALN1	13	5	26	21	4	2	4	7
CALR	608	86	187	185	590	244	378	333
CALR3	0	0	0	0	0	1	0	0
CALU	2706	568	832	838	3641	2348	1781	1809
CALY	0	0	0	0	0	0	0	0
CAMK1	81	15	61	81	96	55	119	226
CAMK1D	21	19	46	40	15	9	11	11
CAMK1G	0	0	0	0	0	1	0	0
CAMK2A	2	0	0	0	3	0	0	0
CAMK2B	1	3	5	6	1	5	4	10
CAMK2D	66	49	84	62	77	114	63	92
CAMK2G	21	8	21	6	7	6	5	4
CAMK2N1	7	10	9	8	1	16	10	17
CAMK2N2	0	0	2	0	1	0	0	0
CAMK4	1	1	0	0	2	0	0	0
CAMKK1	2	2	0	1	11	1	0	0
CAMKK2	42	19	44	43	40	33	17	39
CAMKMT	6	4	5	3	4	4	13	10
CAMKV	0	0	0	0	0	0	0	0
CAMLG	145	72	118	98	190	226	144	174
CAMP	0	0	0	0	0	0	0	0
CAMSAP1	9	3	5	6	8	8	10	14
CAMSAP2	60	27	33	36	50	51	38	35
CAMSAP3	0	0	0	0	0	0	0	0
CAMTA1	163	46	58	66	146	156	144	135
CAMTA2	196	19	42	24	237	70	55	39
CAND1	133	66	101	96	108	131	62	90
CAND1.11	0	2	3	3	0	2	1	1
CAND2	0	1	2	1	1	2	0	1
CANT1	31	14	12	16	29	27	34	21
CANX	627	140	233	204	554	440	324	453
CAP1	1232	150	237	266	2020	779	489	545
CAP2	59	2	2	8	165	5	4	7
CAPG	97	3	7	4	56	19	13	13
CAPN1	80	12	31	23	142	82	36	59
CAPN10	11	1	7	6	2	6	4	2
CAPN10-AS1	28	29	46	29	31	18	8	20
CAPN11	0	0	0	0	0	0	0	0
CAPN12	40	5	14	18	36	14	13	11
CAPN13	0	0	0	0	0	0	0	0
CAPN14	0	0	0	0	0	0	0	0
CAPN15	4	0	0	1	2	3	3	2
CAPN2	503	79	112	84	769	234	132	159
CAPN3	41	39	40	55	32	48	30	42
CAPN5	16	4	5	8	32	14	3	10
CAPN6	0	0	0	0	0	0	1	0
CAPN7	75	59	66	71	41	82	40	54
CAPN8	0	0	0	0	0	0	0	0
CAPN9	1	0	0	0	1	1	0	1
CAPNS1	191	40	51	49	220	96	85	99
CAPNS2	0	0	0	0	0	0	0	0
CAPRIN1	126	30	37	65	94	60	36	70
CAPRIN2	52	24	32	19	63	46	22	28
CAPS	3	3	6	3	0	1	0	4
CAPS2	2	1	0	0	0	2	0	3
CAPSL	0	0	0	0	0	0	0	0
CAPZA1	461	112	183	218	540	473	313	407
CAPZA2	287	103	149	170	280	318	217	273
CAPZA3	0	0	0	0	0	0	0	0
CAPZB	291	70	118	98	325	216	211	203
CARD10	5	0	1	1	11	0	0	0
CARD11	0	0	0	0	0	0	0	0
CARD14	0	0	0	0	0	0	0	0
CARD16	7	2	0	0	4	8	2	0
CARD17	0	0	0	0	0	0	0	0
CARD18	0	0	0	0	0	0	0	0
CARD6	31	28	35	49	30	34	26	26
CARD8	56	44	69	59	26	39	24	28
CARD9	5	1	0	0	4	0	0	0
CARF	35	31	46	31	13	22	8	23
CARHSP1	11	11	22	15	9	8	5	13
CARKD	90	19	31	52	81	109	61	68
CARM1	4	0	3	2	3	0	2	3
CARNS1	2	2	0	1	0	0	0	0
CARS	304	45	76	69	630	229	117	191
CARS2	74	20	46	33	141	117	56	74
CARTPT	0	0	0	0	0	0	0	0
CASC1	0	0	0	0	0	0	0	0
CASC2	4	3	1	3	5	8	4	6
CASC3	41	25	26	27	34	31	20	31
CASC4	126	57	67	66	84	90	57	65
CASC5	40	2	3	1	27	3	0	0
CASD1	12	4	8	2	1	0	4	4
CASK	38	16	34	21	55	33	40	30
CASKIN1	3	1	0	0	3	2	1	3
CASKIN2	2	0	3	6	1	4	4	1
CASP1	13	5	2	0	10	29	12	11
CASP10	32	22	67	38	18	23	10	13
CASP12	0	0	0	0	0	0	0	0
CASP14	8	6	9	9	3	2	1	4
CASP2	81	50	72	51	48	28	26	28
CASP3	64	35	59	61	61	176	100	105
CASP4	103	59	70	52	176	195	103	109
CASP5	9	22	8	8	22	30	14	19
CASP6	66	21	50	46	68	65	44	57
CASP7	42	20	42	42	64	58	44	71
CASP8	39	35	55	50	27	23	26	34
CASP8AP2	52	37	50	31	65	63	52	28
CASP9	16	9	22	17	14	15	15	11
CASQ1	0	0	0	0	1	0	0	0
CASQ2	0	0	2	0	0	0	0	1
CASR	0	0	0	0	0	0	0	0
CASS4	13	4	11	6	7	1	2	3
CAST	171	72	69	82	229	177	127	172
CASZ1	1	0	0	0	0	0	0	1
CAT	79	70	106	178	58	208	163	316
CATSPER1	0	0	0	0	0	0	0	0
CATSPER2	11	2	13	13	5	2	3	6
CATSPER2P1	6	3	6	6	3	2	4	4
CATSPER3	0	0	3	0	3	1	3	4
CATSPER4	0	0	0	0	0	0	0	0
CATSPERB	0	0	0	0	0	0	0	0
CATSPERD	0	0	0	0	0	1	1	0
CATSPERG	0	0	0	0	0	0	0	2
CAV1	1737	255	479	732	1390	681	851	1244
CAV2	208	83	119	162	173	107	136	214
CAV3	0	0	0	0	0	0	0	0
CBFA2T2	57	52	76	51	31	22	18	37
CBFA2T3	0	0	0	0	0	0	0	0
CBFB	28	8	23	10	12	13	10	7
CBL	41	37	39	32	24	23	15	18
CBLB	62	79	70	61	65	90	48	44
CBLC	0	0	0	0	0	0	0	0
CBLL1	32	8	13	18	23	24	20	20
CBLN1	0	0	0	0	0	0	0	0
CBLN2	0	0	0	0	0	0	0	0
CBLN3	2	0	0	1	1	5	0	0
CBLN4	0	0	0	0	0	0	0	0
CBR1	1251	406	392	482	1974	1484	946	1097
CBR3	81	7	11	10	86	22	19	17
CBR3-AS1	286	40	258	206	184	225	298	254
CBR4	50	28	48	46	45	57	60	67
CBS	326	61	91	78	454	291	152	158
CBWD1	337	124	175	148	318	300	222	281
CBWD2	172	64	90	96	128	157	117	144
CBWD3	184	69	103	95	113	129	107	117
CBWD5	204	52	106	96	110	138	93	125
CBWD6	160	62	91	72	105	109	97	116
CBX1	216	41	52	64	365	171	169	178
CBX2	1	3	0	0	0	0	2	0
CBX3	371	101	151	178	451	336	215	262
CBX3P2	2	2	2	4	2	0	1	1
CBX4	10	2	7	9	9	14	9	9
CBX5	533	153	245	207	430	170	167	173
CBX6	147	67	92	113	136	120	195	127
CBX7	1	1	0	2	0	1	1	1
CBX8	0	1	0	0	0	0	2	0
CBY1	67	23	31	39	110	67	62	78
CBY3	0	0	0	1	0	0	0	0
CC2D1A	10	5	3	4	9	8	6	8
CC2D1B	42	54	90	45	53	34	21	24
CC2D2A	116	47	78	53	116	51	43	48
CC2D2B	639	214	621	675	589	711	877	740
CCAR1	215	79	98	90	338	233	133	155
CCBE1	55	75	126	85	48	56	54	60
CCBL1	8	3	5	2	9	19	4	7
CCBL2	68	39	69	76	142	155	114	167
CCBP2	13	19	45	24	13	8	13	15
CCDC101	16	18	13	16	27	30	13	18
CCDC102A	5	0	0	1	4	0	1	6
CCDC102B	8	2	6	9	2	4	2	1
CCDC103	1	0	0	1	6	1	0	1
CCDC104	199	56	63	59	208	243	149	163
CCDC105	0	0	0	0	0	0	0	0
CCDC106	1	0	2	0	0	0	0	1
CCDC107	42	33	37	57	66	77	100	84
CCDC108	1	1	2	4	0	0	0	0
CCDC109B	22	5	1	5	17	5	2	7
CCDC11	6	0	1	0	1	3	0	0
CCDC110	3	0	1	1	0	0	2	1
CCDC111	27	15	28	17	18	21	21	17
CCDC112	27	7	6	9	26	37	18	13
CCDC113	48	48	79	73	45	26	32	27
CCDC114	5	1	12	13	4	3	0	3
CCDC115	83	30	42	42	109	138	78	75
CCDC116	0	0	0	1	0	0	0	1
CCDC117	19	9	16	13	10	8	10	10
CCDC12	298	130	138	135	456	342	240	255
CCDC120	15	28	41	37	9	10	9	13
CCDC121	0	1	5	3	4	1	7	8
CCDC122	18	15	9	12	9	4	5	7
CCDC124	14	5	19	7	9	12	9	13
CCDC125	83	36	91	55	45	31	28	33
CCDC126	20	7	9	14	15	19	9	12
CCDC127	31	19	26	29	33	57	62	65
CCDC129	1	1	3	1	0	0	0	0
CCDC13	1	4	1	2	6	5	1	2
CCDC13-AS1	0	0	0	0	0	0	0	0
CCDC130	22	27	27	7	28	33	17	15
CCDC132	17	8	12	16	21	24	11	12
CCDC134	2	2	3	2	3	4	3	2
CCDC135	0	0	0	0	0	0	0	0
CCDC136	47	10	17	11	41	32	15	8
CCDC137	111	48	77	58	181	145	91	95
CCDC138	15	3	5	8	8	14	10	6
CCDC14	47	68	128	68	44	52	54	38
CCDC140	1	1	0	0	1	2	0	0
CCDC141	18	9	22	13	12	17	8	6
CCDC142	68	72	116	79	45	34	26	32
CCDC144A	165	107	198	258	15	80	51	56
CCDC144B	267	187	363	376	43	136	91	114
CCDC144CP	149	98	185	223	22	76	51	55
CCDC144NL	34	15	44	52	3	11	13	6
CCDC146	4	11	8	9	3	7	2	3
CCDC147	0	0	0	0	5	2	0	1
CCDC148	10	3	7	8	0	4	2	3
CCDC148-AS1	0	0	0	0	0	0	0	0
CCDC149	6	2	9	8	33	11	9	12
CCDC15	10	4	3	3	8	6	7	1
CCDC150	11	4	2	1	2	1	2	1
CCDC151	0	0	0	0	0	0	0	0
CCDC152	25	18	92	185	7	57	101	136
CCDC153	1	0	0	3	4	0	0	3
CCDC154	0	0	0	0	1	0	0	0
CCDC155	0	0	0	0	0	0	0	0
CCDC157	1	2	0	3	4	6	0	3
CCDC158	0	0	0	0	0	0	0	0
CCDC159	5	0	5	2	11	12	4	10
CCDC160	0	0	0	0	0	0	0	0
CCDC162P	0	0	0	0	0	0	0	1
CCDC163P	36	15	34	35	18	18	7	17
CCDC166	0	0	0	0	0	0	0	0
CCDC167	126	21	29	54	214	99	88	103
CCDC168	2	0	2	0	0	1	0	0
CCDC169	0	0	1	1	3	5	5	3
CCDC169-SOHLH2	0	0	1	0	0	2	2	0
CCDC17	0	0	0	0	1	2	0	0
CCDC170	17	19	26	27	9	10	6	20
CCDC171	23	7	15	5	23	13	8	11
CCDC172	141	60	159	174	301	220	210	253
CCDC173	0	0	0	2	1	1	1	0
CCDC174	72	28	57	61	130	98	92	100
CCDC175	3	0	4	1	4	3	4	3
CCDC176	30	8	11	15	25	19	15	20
CCDC177	0	0	1	0	0	0	0	0
CCDC178	0	0	0	0	0	0	0	0
CCDC179	0	0	0	0	0	0	0	0
CCDC18	31	13	23	16	38	13	14	21
CCDC180	6	1	4	1	2	3	1	2
CCDC181	0	0	0	1	1	1	0	0
CCDC19	1	2	0	0	1	2	0	1
CCDC22	29	6	6	7	59	32	16	14
CCDC23	48	15	25	29	41	40	40	44
CCDC24	5	1	1	6	2	0	5	1
CCDC25	244	52	113	65	349	270	192	207
CCDC27	0	0	0	0	0	0	0	0
CCDC28A	39	12	21	29	46	78	37	40
CCDC28B	44	7	5	6	80	20	16	22
CCDC3	0	0	0	0	0	0	0	1
CCDC30	32	31	34	45	20	8	12	15
CCDC33	0	0	0	0	0	0	0	0
CCDC34	92	6	7	10	90	42	13	12
CCDC36	9	2	3	6	23	3	4	6
CCDC37	0	0	0	0	0	0	0	0
CCDC38	1	0	0	0	0	0	0	1
CCDC39	1	0	0	1	2	0	0	0
CCDC40	1	3	0	1	3	2	0	1
CCDC41	38	10	16	23	37	28	18	22
CCDC41-AS1	2	0	6	7	0	3	5	1
CCDC42	0	0	0	0	0	0	0	0
CCDC42B	26	7	10	10	27	23	8	15
CCDC43	68	13	21	23	73	55	47	32
CCDC47	305	67	150	154	385	272	260	327
CCDC50	95	41	93	61	47	58	47	54
CCDC51	16	12	10	11	50	20	21	24
CCDC53	344	102	115	169	330	276	254	244
CCDC54	0	0	2	3	0	0	6	5
CCDC57	8	5	9	10	5	7	3	9
CCDC58	48	17	25	29	46	20	46	30
CCDC59	112	27	41	42	97	80	70	67
CCDC6	62	28	30	16	47	34	23	25
CCDC60	0	0	0	0	0	0	0	0
CCDC61	1	1	0	1	1	0	0	0
CCDC62	0	0	1	0	0	0	0	1
CCDC63	0	0	0	0	0	0	0	0
CCDC64	2	0	1	4	0	0	0	0
CCDC64B	0	0	0	0	0	0	0	0
CCDC65	5	0	0	0	2	0	2	0
CCDC66	79	39	70	74	67	98	70	77
CCDC67	0	0	0	0	1	0	0	0
CCDC68	2	3	5	2	5	2	12	1
CCDC69	25	77	88	125	13	171	108	220
CCDC7	17	17	31	25	11	10	11	7
CCDC70	0	0	0	0	0	0	0	0
CCDC71	0	2	2	0	4	6	0	3
CCDC71L	19	13	13	12	8	21	14	11
CCDC73	50	26	73	64	34	61	46	37
CCDC74A	23	4	1	5	45	22	6	13
CCDC74B	12	4	0	4	20	14	2	6
CCDC74B-AS1	10	17	18	20	13	6	3	3
CCDC77	15	11	11	9	30	24	18	29
CCDC78	0	1	0	0	0	0	0	0
CCDC79	0	1	0	1	0	0	0	0
CCDC8	58	12	29	14	83	25	39	27
CCDC80	2165	239	560	607	2739	975	993	1079
CCDC81	0	0	0	0	1	0	2	2
CCDC82	42	21	28	32	39	41	37	42
CCDC83	4	4	3	0	0	1	2	2
CCDC84	22	18	18	21	29	17	11	10
CCDC85A	11	2	2	1	4	1	1	2
CCDC85B	12	3	4	11	35	13	9	13
CCDC85C	18	8	11	12	8	7	3	9
CCDC86	19	9	6	11	61	43	23	38
CCDC87	0	0	0	0	0	0	1	0
CCDC88A	67	12	28	37	48	23	27	48
CCDC88B	3	1	0	1	1	3	0	0
CCDC88C	0	0	0	1	0	0	0	1
CCDC89	6	2	2	1	11	3	7	1
CCDC9	3	0	0	1	4	1	1	1
CCDC90B	275	66	109	99	316	209	191	204
CCDC91	94	25	45	44	101	70	66	78
CCDC92	19	4	12	2	9	8	13	16
CCDC93	52	29	36	33	82	73	49	55
CCDC94	25	2	3	10	32	13	10	15
CCDC96	4	0	2	0	6	9	5	4
CCDC97	4	3	1	3	6	2	4	5
CCER1	0	0	0	0	0	0	0	0
CCHCR1	8	3	5	11	19	13	6	7
CCIN	9	0	2	0	13	0	3	5
CCK	0	0	0	0	0	0	0	0
CCKAR	0	0	0	0	0	0	0	0
CCKBR	0	1	0	0	0	0	0	0
CCL1	0	0	0	0	0	0	0	0
CCL11	55	4	10	12	26	2	15	7
CCL13	1	3	1	4	0	6	3	7
CCL14	0	0	0	0	0	0	0	0
CCL15	0	0	0	0	0	0	0	0
CCL15-CCL14	0	0	0	0	0	0	0	0
CCL16	20	17	18	9	6	4	0	9
CCL17	0	0	0	0	0	0	0	0
CCL18	0	0	0	0	0	0	0	0
CCL19	0	0	1	0	0	0	1	0
CCL2	163	55	51	71	55	55	75	86
CCL20	2	0	1	1	2	3	1	4
CCL21	0	0	0	0	0	0	0	0
CCL22	46	35	73	61	14	12	16	21
CCL23	0	0	0	0	0	0	0	0
CCL24	0	0	0	0	0	0	0	0
CCL25	0	0	0	0	0	1	0	0
CCL26	15	0	1	0	11	7	6	3
CCL27	0	0	0	0	0	0	0	0
CCL28	13	6	6	14	6	4	2	3
CCL3	0	0	0	0	0	0	0	0
CCL3L1	0	0	0	0	0	0	0	0
CCL3L3	0	0	0	0	0	0	0	0
CCL4	0	0	0	0	0	0	0	0
CCL4L1	0	0	0	0	0	0	0	0
CCL4L2	0	0	0	0	0	0	0	0
CCL5	21	20	21	17	9	7	8	9
CCL7	3	0	0	0	3	0	0	0
CCL8	0	1	1	0	0	2	0	1
CCM2	11	8	6	6	29	12	12	22
CCM2L	0	0	0	0	0	0	0	0
CCNA1	0	0	0	1	0	0	0	0
CCNA2	70	7	12	8	56	23	6	9
CCNB1	272	6	10	25	288	38	40	74
CCNB1IP1	180	96	124	103	229	468	260	240
CCNB2	99	4	2	4	159	3	5	3
CCNB3	0	0	0	1	0	0	0	0
CCNC	116	50	69	77	208	166	105	161
CCND1	445	65	82	113	466	199	166	220
CCND2	67	18	18	28	59	41	47	60
CCND3	26	8	21	29	27	50	36	61
CCNDBP1	105	37	62	85	118	143	103	151
CCNE1	1	2	1	0	1	0	2	1
CCNE2	0	1	0	1	1	3	1	0
CCNF	43	17	30	27	34	9	7	12
CCNG1	301	167	254	321	355	686	427	731
CCNG2	13	10	19	13	4	24	10	17
CCNH	156	96	77	133	139	192	168	234
CCNI	211	67	79	72	210	227	117	193
CCNI2	2	2	8	8	4	4	5	4
CCNJ	2	6	1	3	2	1	3	6
CCNJL	3	2	3	3	2	0	1	1
CCNK	51	12	38	16	55	39	35	29
CCNL1	127	98	163	136	124	125	140	96
CCNL2	129	102	106	113	107	134	54	84
CCNO	0	0	0	0	0	1	0	1
CCNT1	48	16	45	24	41	42	44	43
CCNT2	57	36	49	34	66	63	50	49
CCNY	56	13	16	16	32	25	13	25
CCNYL1	18	10	11	8	14	9	6	8
CCP110	47	15	34	37	34	29	17	11
CCPG1	595	175	244	281	601	595	460	625
CCR1	0	0	0	0	0	0	0	0
CCR10	6	0	0	1	3	1	2	0
CCR2	0	0	0	0	0	0	0	0
CCR3	0	0	0	0	0	0	0	0
CCR4	0	0	0	0	0	0	0	0
CCR5	0	0	0	0	0	0	0	0
CCR6	16	18	33	18	9	12	8	10
CCR7	0	1	1	0	0	0	0	2
CCR8	0	0	1	0	0	0	0	0
CCR9	1	0	0	0	0	0	0	0
CCRL1	1	1	8	17	7	2	10	10
CCRL2	0	0	0	0	0	0	0	0
CCRN4L	10	3	5	3	4	1	1	3
CCS	42	19	34	35	67	40	33	41
CCSAP	15	5	8	5	10	6	4	11
CCSER1	1	1	0	1	0	0	0	0
CCSER2	107	43	68	58	142	102	66	78
CCT2	711	152	163	199	1089	548	374	449
CCT3	973	298	362	448	1518	1297	813	973
CCT4	369	102	103	114	474	312	170	274
CCT5	762	198	211	253	1220	777	496	602
CCT6A	407	109	131	157	591	426	308	337
CCT6B	7	4	9	7	21	17	12	12
CCT6P1	59	20	28	41	38	46	39	46
CCT6P3	97	26	37	58	76	86	74	80
CCT7	288	70	93	105	473	360	262	301
CCT8	529	161	227	245	1009	685	421	524
CCT8L2	0	0	0	0	0	0	0	0
CCZ1	63	22	34	59	51	70	31	45
CCZ1B	67	24	33	47	48	61	33	50
CD101	0	0	1	0	0	1	0	0
CD109	121	70	59	36	106	85	47	68
CD14	0	2	0	1	1	3	1	1
CD151	48	24	24	25	26	29	44	53
CD160	0	0	0	0	0	0	0	0
CD163	0	20	16	11	0	46	22	8
CD163L1	0	0	3	0	1	0	0	3
